ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
300895.SZ	20200924	59.0682	63.228	57.4626	57.4792	10.5241	46.9551	446.1674	169920.65	1215113.699	73.8797	73.8797		126.7438	117.5312	6.1485	25.5381	22.0904			9697.015	2299.9654	2299.9654	669966.7664	158904.6095	-0.030250942949797452
300895.SZ	20200925	55.7404	58.02	49.5008	49.5008	57.4792	-7.9784000000000015	-13.8805	133009.35	849087.187	57.831	57.831		109.1512	101.2174	5.2951	21.9933	19.0242			9697.015	2299.9654	2299.9654	576972.3925	136847.9413	-0.025377367638502808
300895.SZ	20200928	48.2446	52.1631	47.4376	48.7521	49.5008	-0.7486999999999995	-1.5125	89665.62	534713.564	38.9856	38.9856		107.5002	99.6863	5.215	21.6606	18.7364			9697.015	2299.9654	2299.9654	568245.079	134777.9724	0.014503990597328199
300895.SZ	20200929	49.4592	49.4676	45.6572	45.7737	48.7521	-2.9784000000000006	-6.1093	82857.19	468632.319	36.0254	36.0254		100.9328	93.5963	4.8964	20.3373	17.5918			9697.015	2299.9654	2299.9654	533529.7653	126544.0963	-0.003997928941728544
300895.SZ	20200930	45.5907	46.9717	43.5275	43.594	45.7737	-2.179699999999997	-4.7619	66619.01	360923.915	28.9652	28.9652		96.1265	89.1393	4.6632	19.3689	16.7541			9697.015	2299.9654	2299.9654	508123.586	120518.187	0.022899940358764977
300895.SZ	20201009	44.5923	46.3561	44.0017	45.3827	43.594	1.7886999999999986	4.1031	71281.73	386536.751	30.9925	30.9925	0.66	100.0706	92.7968	4.8546	20.1636	17.4415			9697.015	2299.9654	2299.9654	528972.1683	125463.1126	-0.006782320135205713
300895.SZ	20201012	45.0749	49.4759	44.9251	48.5691	45.3827	3.186399999999999	7.0212	84311.02	477988.33200000005	36.6575	36.6575	0.95	107.0966	99.3121	5.1954	21.5793	18.6661			9697.015	2299.9654	2299.9654	566111.7357	134271.9801	-0.016273721357818
300895.SZ	20201013	47.7787	47.8369	46.4226	47.1547	48.5691	-1.4144000000000003	-2.9121	66452.2	375173.467	28.8927	28.8927	0.84	103.978	96.4202	5.0441	20.9509	18.1225			9697.015	2299.9654	2299.9654	549626.8102	130362.0389	-0.004056859655559218
300895.SZ	20201014	46.9634	51.3894	46.9634	49.2512	47.1547	2.096499999999999	4.4460000000000015	88966.75	525972.343	38.6818	38.6818	1.2	108.6009	100.707	5.2684	21.8824	18.9282			9697.015	2299.9654	2299.9654	574063.288	136157.9517	-0.0114860145539601
300895.SZ	20201015	48.6855	53.619	47.4626	50.416	49.2512	1.1647999999999996	2.365	100821.35	610634.04	43.83600000000001	43.83600000000001	1.33	111.1692	103.0886	5.393	22.3999	19.3759			9697.015	2299.9654	2299.9654	587639.1089999999	139377.9032	-0.027227467470644136
300895.SZ	20201016	49.0433	51.9468	48.2529	49.2013	50.416	-1.2146999999999937	-2.4094	62467.14	373726.937	27.16	27.16	0.76	108.4908	100.6049	5.2631	21.8602	18.9091			9697.015	2299.9654	2299.9654	573481.4671	136019.9538	0.05512455971691796
