ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
301047.SZ	20210816	599.9	599.96	450.9	493.32	292.92	200.4	68.4146	85261.77	4518066.038	50.154	50.154		29.7495	24.0356	5.279	21.0148	17.2753			6800.0	1700.0	1700.0	3354576.0	838644.0	-0.03105489337549662
301047.SZ	20210817	478.0	547.4	467.0	525.66	493.32	32.33999999999997	6.5556	50292.06	2555492.038	29.5836	29.5836		31.6998	25.6112	5.6251	22.3924	18.4078			6800.0	1700.0	1700.0	3574488.0	893622.0	-0.02027926796788793
301047.SZ	20210818	515.0	628.8	513.0	620.08	525.66	94.42000000000009	17.9622	52190.63	2982501.927	30.7004	30.7004		37.3937	30.2116	6.6355	26.4146	21.7143			6800.0	1700.0	1700.0	4216544.0	1054136.0	0.011159850341891302
301047.SZ	20210819	627.0	699.38	600.12	618.5	620.08	-1.5800000000000411	-0.2548	49946.48	3210514.769	29.3803	29.3803		37.2984	30.1346	6.6186	26.3473	21.6589			6800.0	1700.0	1700.0	4205800.0	1051450.0	-0.029911075181891674
301047.SZ	20210820	600.0	623.0	570.1	578.05	618.5	-40.450000000000045	-6.54	32187.33	1899914.535	18.9337	18.9337		34.8591	28.1638	6.1857	24.6242	20.2424			6800.0	1700.0	1700.0	3930740.0	982685.0	-0.03470288037367
301047.SZ	20210823	557.99	575.0	543.1	561.04	578.05	-17.00999999999999	-2.9427	24138.41	1348303.259	14.1991	14.1991	0.45	33.8333	27.335	6.0037	23.8996	19.6468			6800.0	1700.0	1700.0	3815072.0	953768.0	-0.014330529017538793
301047.SZ	20210824	553.0	583.0	525.0	577.96	561.04	16.920000000000073	3.0158	34332.87	1884570.775	20.1958	20.1958	0.82	34.8537	28.1594	6.1848	24.6203	20.2393			6800.0	1700.0	1700.0	3930128.0	982532.0	-0.024153920686552765
301047.SZ	20210825	564.0	575.89	553.53	553.7	577.96	-24.25999999999999	-4.1975	19293.51	1086050.737	11.3491	11.3491	0.5	33.3907	26.9774	5.9252	23.5869	19.3897			6800.0	1700.0	1700.0	3765160.0	941290.0	-0.02474264041899954
301047.SZ	20210826	540.0	563.8	536.3	536.97	553.7	-16.730000000000018	-3.0215	17910.29	975406.462	10.5355	10.5355	0.56	32.3818	26.1623	5.7461	22.8742	18.8039			6800.0	1700.0	1700.0	3651396.0	912849.0	-0.033465556735013176
301047.SZ	20210827	519.0	524.44	491.17	492.07	536.97	-44.90000000000003	-8.3617	28306.62	1431576.418	16.651	16.651	1.11	29.6741	27.0809	5.172999999999999	20.9615	19.2766			6800.0	1700.0	1700.0	3346076.0	836519.0	-0.02452903042250085
301047.SZ	20210830	480.0	493.5	473.33	483.66	492.07	-8.409999999999968	-1.7091	15266.7	737401.021	8.9804	8.9804	0.62	29.167	26.6181	5.0846	20.6033	18.9471			6800.0	1700.0	1700.0	3288888.0	822222.0	-0.009634867468883151
301047.SZ	20210831	479.0	508.0	478.22	490.0	483.66	6.339999999999975	1.3108	14762.4	731249.945	8.6838	8.6838	0.64	29.5493	26.967	5.1512	20.8734	19.1955			6800.0	1700.0	1700.0	3332000.0	833000.0	-0.008979591836734647
301047.SZ	20210901	485.6	493.33	469.88	470.1	490.0	-19.899999999999977	-4.0612	14993.64	709777.19	8.8198	8.8198	0.78	28.3492	25.8718	4.942	20.0256	18.4159			6800.0	1700.0	1700.0	3196680.0	799170.0	0.002978089768134391
